1,华泰期货,27785,-15474,华泰期货,67277,-1172,华泰期货,64386,-491,2016-05-03
2,光大期货,25475,-17767,中粮期货,49480,-2044,永安期货,56104,-1081,2016-05-03
3,海通期货,21483,-11431,光大期货,35963,-1093,中粮期货,42671,-4734,2016-05-03
4,东海期货,20111,-14232,华信万达期货,33380,-1137,国投期货,26651,1300,2016-05-03
5,华信万达期货,19111,-13677,永安期货,32027,-754,申银万国,25290,-724,2016-05-03
6,中信期货,17461,-15974,国泰君安,11873,-55,英大期货,22576,18,2016-05-03
7,金瑞期货,16647,-13369,国都期货,11403,-74,中信期货,21844,588,2016-05-03
8,永安期货,16459,-6060,国投期货,10888,-925,光大期货,19880,-184,2016-05-03
9,广发期货,15865,-8076,中国国际,9976,-250,方正中期,19338,-845,2016-05-03
10,国泰君安,14569,-7970,宏源期货,9975,145,宝城期货,18911,1631,2016-05-03
11,中粮期货,11142,-9322,中信期货,9701,-1363,华信万达期货,18398,564,2016-05-03
12,申银万国,10489,-7531,一德期货,8290,360,宏源期货,15008,-95,2016-05-03
13,国投期货,10229,-4130,广发期货,8247,382,中投天琪,14488,16,2016-05-03
14,五矿经易期货,10120,-11892,东证期货,7731,-416,浙商期货,11678,-56,2016-05-03
15,中国国际,10112,-191,国联期货,7501,-134,大地期货,11226,790,2016-05-03
16,弘业期货,9504,-2081,建信期货,7420,-51,海通期货,8163,-1652,2016-05-03
17,中辉期货,9398,-5600,海通期货,7317,-1275,国泰君安,7617,108,2016-05-03
18,首创期货,9294,-439,中投天琪,7192,2923,金瑞期货,7154,-374,2016-05-03
19,徽商期货,9026,-4302,英大期货,7076,22,国都期货,7138,-15,2016-05-03
20,兴证期货,8718,-6893,浙商期货,7056,-580,建信期货,7030,-22,2016-05-03
