1,华泰期货,73023,-84590,光大期货,50096,41,华泰期货,80364,381,2016-06-21
2,东海期货,46341,-43989,华泰期货,45016,1758,中粮期货,68617,-878,2016-06-21
3,海通期货,44037,-43570,中信期货,28946,397,永安期货,54497,-1201,2016-06-21
4,华信万达期货,33056,-40162,中信建投,28062,56,中信期货,36980,757,2016-06-21
5,中信期货,30096,-35169,永安期货,26617,-1268,华信万达期货,33339,-2180,2016-06-21
6,光大期货,29279,-15658,中粮期货,26051,-306,申银万国,30310,60,2016-06-21
7,金瑞期货,23650,-30246,华信万达期货,21290,-1570,光大期货,23762,-638,2016-06-21
8,国泰君安,22707,-19001,海通期货,19912,-2362,国投期货,23283,-81,2016-06-21
9,中国国际,20529,-7175,国都期货,18033,-460,英大期货,22309,-1867,2016-06-21
10,中辉期货,19986,-8507,银河期货,16101,-2095,海通期货,18826,-1477,2016-06-21
11,申银万国,18739,-23164,格林大华期货,15786,-1208,宝城期货,17609,62,2016-06-21
12,东航期货,17635,-20768,广发期货,14652,-52,浙商期货,17261,-1659,2016-06-21
13,冠通期货,16875,-32455,五矿经易期货,13708,268,东证期货,15107,95,2016-06-21
14,方正中期,15846,-8166,东航期货,12834,-545,首创期货,11993,224,2016-06-21
15,徽商期货,14905,-28746,徽商期货,12750,-394,大地期货,11285,46,2016-06-21
16,永安期货,13825,-24640,金瑞期货,11634,194,中投天琪,11048,131,2016-06-21
17,华安期货,13281,-4701,首创期货,11471,1227,徽商期货,10851,-85,2016-06-21
18,银河期货,12996,-11346,中国国际,11304,3104,宏源期货,10554,-18,2016-06-21
19,弘业期货,12698,-6859,兴证期货,9953,-165,银河期货,8510,225,2016-06-21
20,中原期货,12004,-3502,大连良运,9781,-101,南华期货,8374,130,2016-06-21
