1,华泰期货,27974,1776,中粮期货,45227,-1877,中粮期货,58048,-985,2016-08-24
2,中辉期货,23070,-2320,华泰期货,28169,-1820,华泰期货,46121,1164,2016-08-24
3,光大期货,22212,-9625,中信期货,27095,164,永安期货,37136,-503,2016-08-24
4,海通期货,21938,-10042,中信建投,26161,-73,中信期货,26749,-7,2016-08-24
5,中信期货,14625,-4202,光大期货,21747,-49,国投安信期货,19769,-43,2016-08-24
6,广发期货,13159,-7228,永安期货,16823,61,华信万达期货,18938,-1748,2016-08-24
7,金瑞期货,12638,-2386,金瑞期货,15872,-19,申银万国,16091,991,2016-08-24
8,华安期货,11678,-631,国海良时,12831,281,英大期货,15693,-351,2016-08-24
9,平安期货,10975,-9540,五矿经易期货,12473,-28,宝城期货,14943,-1205,2016-08-24
10,国投安信期货,10285,-8210,国都期货,9989,21,浙商期货,14836,-153,2016-08-24
11,永安期货,10268,-5255,广发期货,9488,-167,大地期货,13763,745,2016-08-24
12,华信万达期货,9148,-1179,华信万达期货,9346,-1300,海通期货,11238,-790,2016-08-24
13,银河期货,9137,-1853,建信期货,8380,147,光大期货,10822,-41,2016-08-24
14,铜冠金源,9031,-1358,国泰君安,8376,370,中投天琪,10618,-240,2016-08-24
15,弘业期货,8919,-500,国投安信期货,8182,194,东兴期货,10200,-4,2016-08-24
16,中粮期货,8232,-4341,东航期货,7059,-50,东证期货,8058,-2906,2016-08-24
17,徽商期货,8164,-3367,兴证期货,6888,-445,宏源期货,7599,86,2016-08-24
18,国泰君安,8079,-1962,中投天琪,6464,-262,国泰君安,7125,-451,2016-08-24
19,国信期货,8070,2701,宏源期货,6427,448,南华期货,5744,108,2016-08-24
20,东航期货,7461,-4740,福能期货,6137,18,招商期货,5347,72,2016-08-24
