1,华泰期货,50114,-24338,华泰期货,49294,-887,中粮期货,66878,-608,2016-07-21
2,海通期货,42566,-10761,中粮期货,46090,-537,华泰期货,55213,1949,2016-07-21
3,东证期货,34344,11283,中信期货,36294,-271,永安期货,54483,-467,2016-07-21
4,中信期货,28149,-5620,光大期货,32104,-2879,中信期货,41177,272,2016-07-21
5,光大期货,17743,-3225,中信建投,31790,431,华信万达期货,30179,757,2016-07-21
6,金瑞期货,17587,-124,金瑞期货,21604,-773,英大期货,20201,-33,2016-07-21
7,华信万达期货,16819,-12358,华信万达期货,19779,-198,光大期货,18150,402,2016-07-21
8,中辉期货,16310,-2297,永安期货,15883,232,国投安信期货,16562,-535,2016-07-21
9,南华期货,14355,-1731,建信期货,14541,89,申银万国,15407,-117,2016-07-21
10,五矿经易期货,12683,-5548,国都期货,13047,18,浙商期货,14869,-169,2016-07-21
11,创元期货,12594,-2258,格林大华期货,12417,12,宝城期货,14124,21,2016-07-21
12,华安期货,11772,-1338,五矿经易期货,9965,-633,中投天琪,12430,87,2016-07-21
13,国泰君安,11492,1184,东证期货,9500,-215,大地期货,12308,-114,2016-07-21
14,永安期货,11155,-894,银河期货,9496,-361,南华期货,11634,-70,2016-07-21
15,广发期货,9959,-1188,徽商期货,9397,-71,首创期货,11480,-481,2016-07-21
16,首创期货,9890,-20443,海通期货,8831,-979,东兴期货,11160,613,2016-07-21
17,徽商期货,9793,-3764,广发期货,8284,-164,海通期货,11005,-1009,2016-07-21
18,铜冠金源,9514,-4993,首创期货,8250,-487,宏源期货,10396,-6,2016-07-21
19,东航期货,9488,-2822,国泰君安,8141,-304,徽商期货,8158,-80,2016-07-21
20,国海良时,8512,-8497,申银万国,6914,120,国泰君安,6525,-2634,2016-07-21
