1,海通期货,67652,-488,华泰期货,47329,-997,中粮期货,68056,376,2016-07-15
2,华泰期货,59596,-16233,中粮期货,46876,-501,永安期货,57311,2113,2016-07-15
3,华信万达期货,36863,10574,光大期货,41236,607,华泰期货,50228,-159,2016-07-15
4,中信期货,34793,-1070,中信期货,37114,260,中信期货,42273,-171,2016-07-15
5,平安期货,23839,10722,中信建投,31808,1064,华信万达期货,24521,-459,2016-07-15
6,光大期货,22194,-7155,金瑞期货,21429,27,英大期货,19405,-617,2016-07-15
7,金瑞期货,21905,-201,华信万达期货,17189,120,光大期货,18695,173,2016-07-15
8,中辉期货,19427,-657,永安期货,16467,-691,国投安信期货,16419,83,2016-07-15
9,五矿经易期货,18886,-1455,建信期货,13642,65,申银万国,16081,-4675,2016-07-15
10,南华期货,17976,142,国都期货,13078,-98,浙商期货,14541,145,2016-07-15
11,华安期货,17423,-1960,格林大华期货,12929,-166,宝城期货,13921,-339,2016-07-15
12,广发期货,16972,-7598,五矿经易期货,10883,-124,首创期货,13770,-1773,2016-07-15
13,永安期货,16316,-2386,银河期货,10317,-312,大地期货,12037,-49,2016-07-15
14,东证期货,14732,1046,徽商期货,9517,14,海通期货,11892,723,2016-07-15
15,徽商期货,14113,-1935,海通期货,9458,939,中投天琪,11600,-2,2016-07-15
16,首创期货,13781,1532,首创期货,9346,16,东兴期货,11359,484,2016-07-15
17,银河期货,13675,-1304,国海良时,8524,807,南华期货,10991,215,2016-07-15
18,申银万国,13486,-4885,国泰君安,8352,572,宏源期货,10223,-570,2016-07-15
19,国海良时,13442,2347,广发期货,8217,113,国泰君安,8266,2305,2016-07-15
20,中粮期货,13105,-7895,东航期货,8152,124,徽商期货,7745,77,2016-07-15
