1,华泰期货,19033,-11166,中粮期货,38111,1134,中粮期货,57454,-55,2016-09-06
2,光大期货,15888,-14733,光大期货,34315,1005,华泰期货,30252,807,2016-09-06
3,海通期货,11538,-8962,华泰期货,31963,1172,中信期货,30186,-796,2016-09-06
4,中辉期货,9421,-6685,中信期货,24715,-972,国投安信期货,23166,-166,2016-09-06
5,中信期货,8502,-9524,华信万达期货,19758,1868,永安期货,22474,87,2016-09-06
6,广发期货,6884,-6175,金瑞期货,17794,-22,华信万达期货,16485,-431,2016-09-06
7,东海期货,6622,-5449,永安期货,14062,-516,宝城期货,15354,-38,2016-09-06
8,永安期货,6235,-9396,天风期货,10238,1243,光大期货,15078,415,2016-09-06
9,华信万达期货,6149,-10125,国海良时,10101,408,浙商期货,14981,-246,2016-09-06
10,中银国际,6032,-7510,建信期货,9304,-163,申银万国,14932,-318,2016-09-06
11,金瑞期货,5779,-9259,大连良运,9266,49,英大期货,13167,-1251,2016-09-06
12,徽商期货,5420,-3999,广发期货,9220,-257,大地期货,12941,-533,2016-09-06
13,东航期货,5288,-4477,国投安信期货,8931,-280,中投天琪,12187,-317,2016-09-06
14,浙商期货,4904,-3893,宏源期货,8041,27,海通期货,12126,-1434,2016-09-06
15,国投安信期货,4262,-9898,兴证期货,7470,-665,红塔期货,10342,-80,2016-09-06
16,国泰君安,4057,-6041,五矿经易期货,6962,-86,东兴期货,10068,-3,2016-09-06
17,方正中期,3950,-2085,国泰君安,6849,-332,宏源期货,9424,-67,2016-09-06
18,中粮期货,3919,-7890,东兴期货,6670,28,东证期货,9179,-31,2016-09-06
19,国都期货,3898,2634,红塔期货,6584,-2016,格林大华期货,5750,-20,2016-09-06
20,南华期货,3885,-2452,海通期货,6061,-1592,招商期货,5723,474,2016-09-06
