1,华泰期货,74452,-19588,华泰期货,50181,628,中粮期货,67486,-434,2016-07-20
2,海通期货,53327,-7870,中粮期货,46627,1117,永安期货,54950,-52,2016-07-20
3,中信期货,33769,-6982,中信期货,36565,-349,华泰期货,53264,-1478,2016-07-20
4,首创期货,30333,1274,光大期货,34983,-3482,中信期货,40905,-1218,2016-07-20
5,华信万达期货,29177,-10499,中信建投,31359,447,华信万达期货,29422,-1974,2016-07-20
6,东证期货,23061,-8595,金瑞期货,22377,854,英大期货,20234,-30,2016-07-20
7,光大期货,20968,-4098,华信万达期货,19977,673,光大期货,17748,-810,2016-07-20
8,中粮期货,19121,-8075,永安期货,15651,-911,国投安信期货,17097,290,2016-07-20
9,中辉期货,18607,-5425,建信期货,14452,-55,申银万国,15524,-493,2016-07-20
10,五矿经易期货,18231,303,国都期货,13029,-124,浙商期货,15038,216,2016-07-20
11,金瑞期货,17711,-6943,格林大华期货,12405,0,宝城期货,14103,40,2016-07-20
12,国海良时,17009,-4294,五矿经易期货,10598,1078,大地期货,12422,-471,2016-07-20
13,南华期货,16086,-5055,银河期货,9857,-514,中投天琪,12343,-162,2016-07-20
14,创元期货,14852,1125,海通期货,9810,-574,海通期货,12014,751,2016-07-20
15,铜冠金源,14507,4321,东证期货,9715,710,首创期货,11961,-1287,2016-07-20
16,徽商期货,13557,-7330,徽商期货,9468,-155,南华期货,11704,90,2016-07-20
17,银河期货,13312,-7420,首创期货,8737,-750,东兴期货,10547,-537,2016-07-20
18,弘业期货,13290,-350,广发期货,8448,-184,宏源期货,10402,-40,2016-07-20
19,华安期货,13110,-7358,国泰君安,8445,91,国泰君安,9159,-371,2016-07-20
20,东航期货,12310,-3418,国海良时,7878,-1827,徽商期货,8238,-124,2016-07-20
