1,华泰期货,35592,-26672,华泰期货,36442,1408,华泰期货,41454,2682,2016-09-23
2,光大期货,30425,-14509,永安期货,33733,1581,中粮期货,37234,633,2016-09-23
3,海通期货,26080,-19051,华信万达期货,30069,1052,永安期货,28735,963,2016-09-23
4,中信期货,22008,-1682,中信期货,26460,3726,中信期货,23946,-340,2016-09-23
5,申银万国,21598,-6029,中粮期货,26239,3195,混沌天成期货,23576,-120,2016-09-23
6,广发期货,18425,-9171,光大期货,21686,-641,国投安信期货,21152,-1996,2016-09-23
7,中银国际,17606,-6331,国投安信期货,17551,194,华信万达期货,18782,90,2016-09-23
8,永安期货,15412,-11346,广发期货,14453,-475,申银万国,18572,1284,2016-09-23
9,金瑞期货,14696,-6466,宏源期货,11403,650,浙商期货,17614,439,2016-09-23
10,冠通期货,14641,-15386,金瑞期货,11128,17,英大期货,17333,407,2016-09-23
11,东海期货,13982,-9439,海通期货,10782,-602,宝城期货,16285,748,2016-09-23
12,华信万达期货,12410,-7235,国泰君安,10167,275,海通期货,14878,662,2016-09-23
13,铜冠金源,12114,-10,中投天琪,10012,2544,光大期货,14557,1762,2016-09-23
14,兴证期货,11484,-4372,大连良运,9627,-53,大地期货,13256,-86,2016-09-23
15,徽商期货,10597,-4032,浙商期货,8701,1534,东兴期货,11102,929,2016-09-23
16,中粮期货,9922,-16714,南华期货,8648,410,中投天琪,10404,39,2016-09-23
17,方正中期,9699,-5791,兴证期货,8303,360,宏源期货,10299,233,2016-09-23
18,国泰君安,9368,-8078,东航期货,8249,-164,红塔期货,8288,-212,2016-09-23
19,混沌天成期货,9231,-10466,招商期货,8009,-637,招商期货,7922,281,2016-09-23
20,首创期货,9229,-3904,申银万国,7673,3638,国泰君安,5928,257,2016-09-23
