1,华信万达期货,34799,-1602,混沌天成期货,100786,-305,中粮期货,75118,-632,2016-04-06
2,华泰期货,34582,-7967,华泰期货,50320,514,华泰期货,71269,-2072,2016-04-06
3,光大期货,30379,2044,国泰君安,30103,150,永安期货,63335,5201,2016-04-06
4,国泰君安,25828,2456,宏源期货,29508,-66,光大期货,43388,145,2016-04-06
5,中辉期货,25248,7118,永安期货,27802,1569,中信期货,29800,-585,2016-04-06
6,广发期货,23684,-3063,中粮期货,26892,-353,申银万国,29080,228,2016-04-06
7,海通期货,21350,-3803,华信万达期货,24127,3513,国投期货,23349,-455,2016-04-06
8,东海期货,20992,2115,一德期货,22386,1195,华信万达期货,21196,-472,2016-04-06
9,东证期货,19266,6076,海通期货,19413,-459,宝城期货,19560,149,2016-04-06
10,申银万国,18209,-8119,光大期货,17225,-1174,宏源期货,17014,391,2016-04-06
11,永安期货,17470,-2943,中信期货,16144,47,浙商期货,16815,109,2016-04-06
12,招商期货,15781,1538,瑞达期货,16042,-687,国都期货,16488,-2,2016-04-06
13,东航期货,15154,360,迈科期货,16038,-235,金瑞期货,15270,53,2016-04-06
14,中信期货,13830,-3272,国富期货,13385,-465,海通期货,13276,-1819,2016-04-06
15,五矿经易期货,12776,646,兴证期货,11823,-3745,英大期货,12562,-277,2016-04-06
16,铜冠金源,12470,4607,浙商期货,11799,-55,首创期货,12238,-2799,2016-04-06
17,兴证期货,12147,-2857,格林大华期货,11614,-170,中投天琪,12157,-61,2016-04-06
18,徽商期货,10950,-2659,东航期货,11109,-4638,东证期货,11859,-652,2016-04-06
19,国投期货,10512,139,倍特期货,10650,629,五矿经易期货,10245,-425,2016-04-06
20,一德期货,9901,2466,国联期货,10465,202,中国国际,10243,-393,2016-04-06
