1,华泰期货,78272,50487,华泰期货,56451,-10826,华泰期货,66814,2428,2016-05-04
2,华信万达期货,76047,56936,中粮期货,47585,-1895,永安期货,55284,-820,2016-05-04
3,光大期货,39205,13730,光大期货,34230,-1733,中粮期货,46310,3639,2016-05-04
4,方正中期,38764,30483,永安期货,31249,-778,申银万国,25755,465,2016-05-04
5,海通期货,38574,17091,华信万达期货,30277,-3103,中信期货,23850,2006,2016-05-04
6,广发期货,38146,22281,中信期货,15394,5693,国投期货,23438,-3213,2016-05-04
7,东海期货,38040,17929,国都期货,11327,-76,华信万达期货,22540,4142,2016-05-04
8,中辉期货,37920,28522,国投期货,10593,-295,光大期货,20954,1074,2016-05-04
9,中信期货,36697,19236,国联期货,10400,2899,英大期货,20751,-1825,2016-05-04
10,国泰君安,29986,15417,海通期货,10283,2966,宝城期货,18825,-86,2016-05-04
11,申银万国,29916,19427,国泰君安,9819,-2054,宏源期货,13871,-1137,2016-05-04
12,金瑞期货,28459,11812,宏源期货,9668,-307,浙商期货,13151,1473,2016-05-04
13,弘业期货,26721,17217,中投天琪,9338,2146,大地期货,11400,174,2016-05-04
14,东航期货,23286,15729,中国国际,8792,-1184,中投天琪,10747,-3741,2016-05-04
15,徽商期货,23007,13981,一德期货,8304,14,国泰君安,8563,946,2016-05-04
16,中国国际,20400,10288,银河期货,8280,1733,海通期货,8053,-110,2016-05-04
17,五矿经易期货,20342,10222,广发期货,8242,-5,建信期货,7933,903,2016-05-04
18,首创期货,20316,11022,建信期货,7847,427,国都期货,7141,3,2016-05-04
19,华安期货,20236,13056,浙商期货,7681,625,东证期货,7099,541,2016-05-04
20,永安期货,20166,3707,东证期货,7435,-296,金瑞期货,6954,-200,2016-05-04
