1,华泰期货,55089,3836,中粮期货,34718,-1947,中粮期货,54651,-627,2016-09-02
2,光大期货,38413,-366,光大期货,34352,1292,中信期货,31007,-3224,2016-09-02
3,中信期货,37976,8186,华泰期货,29900,4298,永安期货,30140,121,2016-09-02
4,海通期货,31966,-1812,中信期货,27130,1396,华泰期货,29373,-219,2016-09-02
5,华信万达期货,26734,-4028,金瑞期货,18810,785,国投安信期货,17923,-2165,2016-09-02
6,大地期货,25212,21037,永安期货,14828,579,华信万达期货,16427,195,2016-09-02
7,中辉期货,21311,1915,华信万达期货,14755,5415,浙商期货,16150,-421,2016-09-02
8,中粮期货,20588,9186,五矿经易期货,12425,-1036,申银万国,15754,-416,2016-09-02
9,东航期货,20514,5063,国都期货,10584,-1393,宝城期货,15321,6,2016-09-02
10,永安期货,20246,511,广发期货,10544,113,英大期货,14652,54,2016-09-02
11,铜冠金源,18363,7253,国海良时,10246,1669,海通期货,13950,-499,2016-09-02
12,兴证期货,18052,10110,建信期货,9712,309,大地期货,13455,-68,2016-09-02
13,金瑞期货,17310,277,大连良运,9112,-360,光大期货,12876,1933,2016-09-02
14,东证期货,15996,7108,天风期货,8819,-935,中投天琪,12343,1003,2016-09-02
15,国投安信期货,15702,2183,国投安信期货,7810,737,东兴期货,10227,153,2016-09-02
16,方正中期,15065,1874,海通期货,7617,-951,宏源期货,8986,1504,2016-09-02
17,广发期货,14994,-2581,红塔期货,7565,1406,国泰君安,7917,606,2016-09-02
18,国泰君安,14932,568,宏源期货,7141,1429,红塔期货,6814,-87,2016-09-02
19,徽商期货,14854,2263,兴证期货,6819,-696,格林大华期货,5797,4918,2016-09-02
20,银河期货,14491,1318,国泰君安,6725,-502,东证期货,5308,-1947,2016-09-02
