1,华泰期货,61485,-4596,混沌天成期货,81164,959,中粮期货,87234,1510,2016-01-05
2,东海期货,51410,16262,华泰期货,51289,660,华泰期货,61083,1273,2016-01-05
3,华信万达期货,40246,1651,中粮期货,35442,-1863,光大期货,37637,30,2016-01-05
4,广发期货,37930,8134,一德期货,34406,-141,海通期货,34403,3413,2016-01-05
5,光大期货,37913,-11703,中信期货,28360,-1082,申银万国,29818,-542,2016-01-05
6,国泰君安,34479,9942,光大期货,24928,591,华鑫期货,27771,-1024,2016-01-05
7,海通期货,33406,1540,宏源期货,24764,237,国投期货,25678,9907,2016-01-05
8,首创期货,29194,-6093,方正中期,20649,222,中信期货,23832,-48,2016-01-05
9,国投期货,29188,15887,华信万达期货,20331,632,中投天琪,20715,-67,2016-01-05
10,铜冠金源,27581,-17541,永安期货,18635,52,国都期货,20688,-3,2016-01-05
11,五矿经易期货,26887,-4488,银河期货,16497,652,浙商期货,19395,-105,2016-01-05
12,瑞达期货,26775,11304,海通期货,15349,79,永安期货,19251,977,2016-01-05
13,中辉期货,26448,16091,五矿经易期货,15168,3939,华信万达期货,18636,-890,2016-01-05
14,中信期货,24830,-2301,国投期货,14749,-307,宝城期货,17244,-66,2016-01-05
15,徽商期货,21288,4303,倍特期货,14077,187,五矿经易期货,15632,-2306,2016-01-05
16,南华期货,21037,122,国海良时,12280,320,英大期货,15602,53,2016-01-05
17,方正中期,20973,-930,兴证期货,11810,394,东兴期货,15269,-180,2016-01-05
18,申银万国,20232,-15160,南华期货,11169,2727,宏源期货,12983,-139,2016-01-05
19,冠通期货,19491,4207,广发期货,11030,-2042,大地期货,12592,-10,2016-01-05
20,永安期货,18807,-566,国泰君安,10605,235,银河期货,12114,-367,2016-01-05
