1,东海期货,79254,4070,混沌天成期货,90325,3632,华泰期货,63121,-5121,2016-02-04
2,华泰期货,64095,17004,华泰期货,52215,-5834,中粮期货,60555,-900,2016-02-04
3,光大期货,41497,8349,中粮期货,40159,-256,申银万国,28888,-267,2016-02-04
4,华信万达期货,36260,-690,华信万达期货,29754,-1411,海通期货,28868,-3179,2016-02-04
5,广发期货,32388,8915,方正中期,27564,-2374,永安期货,25320,-2711,2016-02-04
6,国泰君安,29324,4544,光大期货,27189,-5046,中信期货,24818,-2743,2016-02-04
7,海通期货,28188,-5241,宏源期货,24845,55,光大期货,23023,-547,2016-02-04
8,五矿经易期货,25845,5163,南华期货,24034,-6295,国泰君安,22456,-1657,2016-02-04
9,永安期货,24533,1993,一德期货,22653,1170,华鑫期货,20811,54,2016-02-04
10,申银万国,24242,-7993,浙江新世纪,15364,-563,宝城期货,17414,-163,2016-02-04
11,中辉期货,23969,-10316,倍特期货,13233,-591,浙商期货,16936,-939,2016-02-04
12,国投期货,20461,9172,永安期货,12026,-1334,宏源期货,16746,-2696,2016-02-04
13,方正中期,20429,-2210,瑞达期货,11925,1256,东兴期货,15346,-1795,2016-02-04
14,华安期货,20385,1937,国海良时,11095,-1780,国投期货,14911,1930,2016-02-04
15,南华期货,19582,-789,海通期货,10394,-1911,大地期货,12153,-246,2016-02-04
16,一德期货,18820,9816,银河期货,10105,-1381,银河期货,11519,-777,2016-02-04
17,东航期货,18120,-3052,中信期货,9691,-657,中投天琪,10214,-325,2016-02-04
18,混沌天成期货,16987,5813,浙商期货,9505,-4106,南证期货,9738,-116,2016-02-04
19,铜冠金源,16066,5738,兴证期货,7494,207,红塔期货,9652,18,2016-02-04
20,兴证期货,15806,1784,国泰君安,7314,-2123,东航期货,9088,-1621,2016-02-04
