1,华泰期货,30151,-1351,混沌天成期货,92336,242,华泰期货,61535,-4,2016-02-15
2,光大期货,27749,5091,华泰期货,50862,755,中粮期货,56884,-1011,2016-02-15
3,东海期货,21961,-5580,中粮期货,40459,43,海通期货,36113,614,2016-02-15
4,海通期货,18658,-5731,华信万达期货,29509,79,永安期货,25820,1421,2016-02-15
5,五矿经易期货,18315,10493,光大期货,28228,1083,申银万国,25169,-251,2016-02-15
6,华信万达期货,17206,9083,方正中期,26737,-148,中信期货,24225,-174,2016-02-15
7,广发期货,16934,1513,宏源期货,25310,-167,光大期货,21551,2,2016-02-15
8,国泰君安,14157,1091,一德期货,23364,860,华鑫期货,21206,-85,2016-02-15
9,中辉期货,14133,4897,倍特期货,15741,3133,国泰君安,19136,-2375,2016-02-15
10,永安期货,12049,1141,浙江新世纪,15354,-30,宝城期货,17110,-58,2016-02-15
11,中信期货,11345,-502,瑞达期货,12371,532,浙商期货,16979,188,2016-02-15
12,金瑞期货,11218,1683,国海良时,12159,48,宏源期货,16732,162,2016-02-15
13,兴证期货,10336,-1957,永安期货,12083,696,国投期货,14381,1121,2016-02-15
14,申银万国,10197,-8064,海通期货,10542,-32,东兴期货,12321,-27,2016-02-15
15,国投期货,10077,-854,银河期货,9678,53,大地期货,11772,219,2016-02-15
16,首创期货,9530,-3816,南华期货,9599,-1066,银河期货,11326,446,2016-02-15
17,华安期货,8411,5685,浙商期货,9378,129,中投天琪,10563,413,2016-02-15
18,银河期货,8213,1416,中信期货,9184,-439,红塔期货,10013,210,2016-02-15
19,南华期货,7975,-10881,首创期货,7187,369,南证期货,9714,-37,2016-02-15
20,方正中期,7665,-4281,国泰君安,7099,1134,华安期货,8877,144,2016-02-15
