 Date,OpenInterest,ProducerLong,ProducerShort,SwapDealersLong,SwapDealersShort,SwapDealersSpreading,ManagedMoneyLong,ManagedMoneyShort,ManagedMoneySpreading,OtherLong,OtherShort,OtherSpreading
20160614,1480701,286222,841064,295981,21204,33109,342545,74133,94932,183868,89755,112214
20160621,1479366,312604,823820,294496,19918,37667,318494,102123,93812,191283,78769,106649
20160628,1333078,284809,761693,275703,11763,37795,257819,89587,87726,182412,61529,84884
20160705,1288110,299540,691980,260545,10350,36299,205394,119344,94309,193176,62189,77109
20160712,1297529,332127,645498,244217,8756,34327,167882,173768,98467,217229,62578,75643
20160719,1298151,320912,617359,236362,6448,37103,163260,193018,113139,225096,64714,73621
20160726,1309528,335559,585568,241402,4963,35151,148490,216061,131082,193972,54341,85093
20160802,1339998,355623,568920,234635,6887,30517,149213,255981,131534,198983,52999,97447
20160809,1360945,372801,559909,233786,7509,29979,149953,291448,116160,201919,55012,106451
20160816,1379265,370699,551716,232810,8315,33846,156649,321758,103625,214536,53353,116099
20160823,1370132,360529,542191,231255,7627,32299,176286,334772,100025,215582,54897,109102
20160830,1296621,344130,476301,224107,6569,24972,173135,347624,90998,188642,60425,109495
20160906,1317098,357287,485830,226696,7187,25862,172067,358194,93697,185685,60788,110222
20160913,1283735,338837,482443,229872,5460,28215,176001,327548,87807,172935,58059,111525
20160920,1299946,336252,496214,234570,5470,24774,181231,337264,87646,176692,55685,114915
20160927,1307114,344268,488574,237654,5364,25091,172321,350054,84353,187642,55979,109448
20161004,1310849,322365,506085,247951,4829,25725,183176,336272,82283,179923,51931,118475
20161011,1305996,315849,518062,245986,5447,24275,180101,302015,87824,173832,52554,131569
