1,海通期货,70323,33633,永安期货,17397,1475,国投安信期货,49919,1231,2016-10-20
2,华泰期货,43554,7596,国泰君安,13636,14,华信万达期货,25460,5069,2016-10-20
3,中原期货,28591,3198,中信期货,11298,1552,中粮期货,25373,805,2016-10-20
4,光大期货,28490,11222,华信万达期货,10306,2110,东证期货,13333,959,2016-10-20
5,中信期货,27557,2548,华泰期货,10226,1137,永安期货,13002,5724,2016-10-20
6,东海期货,23686,8777,国投安信期货,8201,24,光大期货,7593,91,2016-10-20
7,东证期货,20379,2597,广发期货,7074,2466,信达期货,6287,-216,2016-10-20
8,徽商期货,19140,8302,中投天琪,6552,250,首创期货,5421,350,2016-10-20
9,东航期货,18818,2355,格林大华期货,6102,220,中信期货,4927,-307,2016-10-20
10,永安期货,18457,8883,银河期货,5605,2424,格林大华期货,4373,-171,2016-10-20
11,华信万达期货,17473,9017,海通期货,5425,-493,银河期货,3754,66,2016-10-20
12,新湖期货,15753,4395,西部期货,4911,144,中国国际,3730,-134,2016-10-20
13,国投安信期货,14119,-3848,东航期货,4726,-315,南证期货,3264,101,2016-10-20
14,招商期货,12239,4242,中信建投,3857,2820,西部期货,3243,2344,2016-10-20
15,南华期货,11878,3150,光大期货,3418,-83,中信建投,3066,2629,2016-10-20
16,冠通期货,11288,4980,方正中期,3377,61,国海良时,2659,-1231,2016-10-20
17,中银国际,11267,3115,中国国际,3357,211,新湖期货,2588,208,2016-10-20
18,国泰君安,11024,-8680,申银万国,3319,-1076,申银万国,2248,110,2016-10-20
19,方正中期,10901,1769,宏源期货,2964,414,东吴期货,2143,19,2016-10-20
20,广发期货,10837,3885,兴证期货,2858,515,华泰期货,2028,47,2016-10-20
