1,华泰期货,47858,5705,永安期货,46708,-1717,华泰期货,44534,-557,2016-10-19
2,光大期货,39735,17527,华泰期货,31737,3577,中粮期货,42134,-997,2016-10-19
3,广发期货,32684,18621,中信期货,31480,390,永安期货,31486,-1350,2016-10-19
4,中信建投,29896,26133,中粮期货,29560,842,华信万达期货,27588,-4216,2016-10-19
5,冠通期货,26381,5374,光大期货,29508,-1564,中信期货,25102,-1145,2016-10-19
6,华信万达期货,25189,14062,华信万达期货,29152,-1755,混沌天成期货,23849,-208,2016-10-19
7,东海期货,25053,8562,金瑞期货,20204,1266,申银万国,18500,15,2016-10-19
8,海通期货,23734,-7116,国投安信期货,16337,687,英大期货,17726,-300,2016-10-19
9,中信期货,22685,5369,申银万国,15155,-358,浙商期货,17435,-1026,2016-10-19
10,国海良时,22103,10339,海通期货,11851,-1804,宝城期货,16491,-140,2016-10-19
11,中银国际,20214,7088,国泰君安,11509,1272,海通期货,15398,-70,2016-10-19
12,国泰君安,17733,5580,广发期货,11319,-1822,光大期货,15218,-3167,2016-10-19
13,徽商期货,17690,5348,宏源期货,10102,1093,国投安信期货,14781,256,2016-10-19
14,东航期货,15100,6452,五矿经易期货,10093,-34,大地期货,12888,-528,2016-10-19
15,中辉期货,14756,3105,建信期货,9654,-194,东兴期货,10873,-752,2016-10-19
16,金瑞期货,14429,5343,大连良运,9483,1,招商期货,8869,-174,2016-10-19
17,兴证期货,14398,7118,浙商期货,8615,445,宏源期货,7947,121,2016-10-19
18,永安期货,14345,6436,混沌天成期货,7502,870,国海良时,7386,-8501,2016-10-19
19,弘业期货,14075,6503,东航期货,7257,-844,中国国际,6745,-204,2016-10-19
20,东方汇金期货,13366,5710,招商期货,7141,-968,红塔期货,6668,-464,2016-10-19
