1,华泰期货,49908,-7813,永安期货,45379,1374,华泰期货,47891,2178,2016-10-12
2,海通期货,30645,-22567,中粮期货,34718,-1346,中粮期货,40680,1914,2016-10-12
3,华信万达期货,24793,-16970,光大期货,31654,-274,永安期货,31046,987,2016-10-12
4,广发期货,23240,-5164,华泰期货,31002,2126,中信期货,25801,1001,2016-10-12
5,光大期货,22903,-15785,中信期货,28112,-797,混沌天成期货,24153,298,2016-10-12
6,东海期货,21522,-8115,华信万达期货,25471,11586,华信万达期货,23703,-179,2016-10-12
7,中信期货,19086,-4210,金瑞期货,16878,-96,浙商期货,19884,360,2016-10-12
8,冠通期货,15258,-10120,国投安信期货,15315,411,光大期货,19515,-261,2016-10-12
9,申银万国,15032,-5973,申银万国,15130,-128,申银万国,18048,1154,2016-10-12
10,中银国际,14657,-3535,广发期货,12578,-384,英大期货,17115,436,2016-10-12
11,永安期货,14177,-6903,东方汇金期货,12051,-1007,宝城期货,16763,24,2016-10-12
12,中辉期货,13563,-1404,中信建投,11366,388,国投安信期货,16061,165,2016-10-12
13,徽商期货,13232,-1558,海通期货,10698,657,海通期货,13639,442,2016-10-12
14,东航期货,13160,-2900,宏源期货,10324,-56,大地期货,12540,314,2016-10-12
15,中粮期货,11750,-1110,五矿经易期货,10017,-93,宏源期货,10877,-1881,2016-10-12
16,国泰君安,11651,-6388,建信期货,9764,13,东兴期货,10666,31,2016-10-12
17,金瑞期货,11570,-5063,大连良运,9392,2,招商期货,10527,640,2016-10-12
18,银河期货,11397,-183,国泰君安,8895,943,中投天琪,9665,30,2016-10-12
19,铜冠金源,10017,-4808,兴证期货,8062,324,红塔期货,7397,30,2016-10-12
20,方正中期,9810,-10019,东航期货,7219,-188,国泰君安,6889,834,2016-10-12
