1,华泰期货,87485,25674,华泰期货,54161,-1483,华泰期货,68545,1758,2016-05-12
2,华信万达期货,69095,16149,中粮期货,46340,-2005,永安期货,56127,1450,2016-05-12
3,海通期货,64942,26473,光大期货,33508,-189,中粮期货,51462,9936,2016-05-12
4,东海期货,59384,14355,永安期货,28101,-1657,申银万国,26835,-262,2016-05-12
5,广发期货,48613,12980,华信万达期货,27209,-3028,华信万达期货,24586,3693,2016-05-12
6,光大期货,47945,12491,中信建投,14425,4213,光大期货,22417,3024,2016-05-12
7,国泰君安,34578,9687,中信期货,14007,2850,中信期货,21848,1632,2016-05-12
8,中信期货,33774,11171,国泰君安,12714,963,国投期货,21824,216,2016-05-12
9,徽商期货,32888,13748,海通期货,11892,5368,英大期货,21192,673,2016-05-12
10,方正中期,27463,11397,国都期货,11333,-18,宝城期货,18901,97,2016-05-12
11,中辉期货,27157,7560,国投期货,10024,269,宏源期货,12939,-693,2016-05-12
12,中粮期货,27119,13535,宏源期货,9733,175,大地期货,12214,634,2016-05-12
13,申银万国,26700,12495,东证期货,9656,422,浙商期货,11903,724,2016-05-12
14,东航期货,25482,6795,格林大华期货,9254,914,中投天琪,10692,-14,2016-05-12
15,永安期货,25443,3598,中国国际,8725,383,海通期货,8140,-2776,2016-05-12
16,金瑞期货,25362,9304,弘业期货,7611,750,国泰君安,7887,23,2016-05-12
17,冠通期货,24556,9611,建信期货,7552,157,招商期货,7365,865,2016-05-12
18,五矿经易期货,24401,5490,银河期货,7327,670,建信期货,7312,146,2016-05-12
19,首创期货,23339,11451,兴证期货,7168,1969,金瑞期货,7145,757,2016-05-12
20,中国国际,22361,10041,一德期货,7085,955,国都期货,7055,23,2016-05-12
