1,海通期货,32246,-21243,华泰期货,63681,392,永安期货,71881,184,2016-05-24
2,华泰期货,29266,-50202,中粮期货,55179,431,华泰期货,66962,-926,2016-05-24
3,东海期货,28095,-27873,光大期货,43058,531,中粮期货,29821,-240,2016-05-24
4,光大期货,19077,-36482,永安期货,30509,547,申银万国,27671,425,2016-05-24
5,金瑞期货,17451,-17103,华信万达期货,27338,494,中信期货,25154,129,2016-05-24
6,国泰君安,16024,-10331,中信期货,14718,392,国投期货,22489,53,2016-05-24
7,华信万达期货,15093,-28332,格林大华期货,14551,38,海通期货,20768,1392,2016-05-24
8,中信期货,14777,-19617,国都期货,14076,48,英大期货,20502,-306,2016-05-24
9,永安期货,14689,-20857,金瑞期货,11441,-103,宝城期货,19782,227,2016-05-24
10,五矿经易期货,14389,-11113,中信建投,10895,-646,浙商期货,15766,-1233,2016-05-24
11,广发期货,14096,-28486,国泰君安,10151,408,东证期货,14917,-422,2016-05-24
12,中原期货,14058,858,弘业期货,9651,1605,光大期货,13703,-80,2016-05-24
13,徽商期货,12884,-12143,徽商期货,9318,-929,宏源期货,13649,-591,2016-05-24
14,弘业期货,11752,-9904,宏源期货,8919,-961,华信万达期货,12224,-985,2016-05-24
15,宏源期货,11136,-4114,中国国际,8856,-464,大地期货,12129,-952,2016-05-24
16,中辉期货,10840,-11665,首创期货,8097,600,中投天琪,8495,-6,2016-05-24
17,申银万国,9918,-14051,东证期货,8043,-383,新湖期货,7860,1747,2016-05-24
18,冠通期货,9067,-7464,国联期货,7913,-29,广发期货,7567,128,2016-05-24
19,方正中期,8736,-16165,建信期货,7249,85,国泰君安,6893,-212,2016-05-24
20,东航期货,8548,-15620,广发期货,7182,748,首创期货,6882,-5,2016-05-24
